latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,day
30.1138,80.0756,300,1.2,1.1,01-01-2022,511,Terra,MODIS,7,6.03,288.4,7.1,D,0,1
28.7111,96.1671,304.8,1,1,02-01-2022,415,Terra,MODIS,60,6.03,292.5,8.9,D,0,2
24.8075,86.8461,305.9,1.1,1,03-01-2022,459,Terra,MODIS,61,6.03,291.9,5.8,D,0,3
26.5417,95.0724,300.4,1.4,1.2,04-01-2022,404,Terra,MODIS,31,6.03,288.5,7,D,0,4
23.7969,87.0481,306.6,1,1,05-01-2022,447,Terra,MODIS,61,6.03,295,5.5,D,2,5
26.6378,95.0557,314.8,2.2,1.4,06-01-2022,351,Terra,MODIS,75,6.03,287.6,42.7,D,0,6
26.606,89.9087,306.4,1,1,07-01-2022,434,Terra,MODIS,48,6.03,294.8,4.8,D,0,7
22.9349,78.7157,309.6,1,1,08-01-2022,518,Terra,MODIS,63,6.03,293.7,6.5,D,0,8
26.6354,93.0022,305.7,1,1,09-01-2022,422,Terra,MODIS,0,6.03,294.9,5.6,D,2,9
26.4935,94.9513,319,4.3,1.9,10-01-2022,504,Terra,MODIS,79,6.03,288.9,135.2,D,0,10
26.7881,95.2114,310,1.1,1.1,11-01-2022,409,Terra,MODIS,31,6.03,285.4,8.7,D,0,11
23.7194,86.4466,301.9,1,1,12-01-2022,453,Terra,MODIS,27,6.03,285.2,1.8,D,2,12
26.3961,78.0744,314,1.1,1.1,13-01-2022,536,Terra,MODIS,74,6.03,288.7,15.2,D,0,13
20.8887,70.7462,309.5,2.3,1.5,14-01-2022,620,Terra,MODIS,61,6.03,296.3,19.2,D,0,14
22.7944,86.2191,311.1,2.7,1.6,15-01-2022,524,Terra,MODIS,26,6.03,287.7,29.4,D,2,15
28.1968,95.7334,307.2,1.1,1.1,16-01-2022,427,Terra,MODIS,65,6.03,292.8,7.1,D,0,16
23.7763,86.3914,307.8,1.6,1.2,17-01-2022,512,Terra,MODIS,40,6.03,296.2,10.4,D,2,17
28.871,96.0073,300.7,1,1,18-01-2022,415,Terra,MODIS,22,6.03,290.3,6.8,D,0,18
26.945,95.6129,322.6,3.7,1.8,19-01-2022,458,Terra,MODIS,82,6.03,286.4,149.5,D,0,19
23.9278,76.1305,312.2,1.1,1.1,20-01-2022,542,Terra,MODIS,69,6.03,296,10.1,D,0,20
26.3469,92.0833,300.2,1.3,1.1,21-01-2022,446,Terra,MODIS,0,6.03,287.3,3.2,D,0,21
22.974,78.8577,308.4,1.1,1.1,22-01-2022,530,Terra,MODIS,52,6.03,289.2,5.7,D,0,22
20.9495,85.0132,309.3,1.6,1.3,23-01-2022,436,Terra,MODIS,58,6.03,293.7,11.3,D,0,23
23.0357,79.3607,310.7,1,1,24-01-2022,518,Terra,MODIS,69,6.03,289.9,8.7,D,0,24
27.4749,72.2807,320.1,1.1,1.1,25-01-2022,600,Terra,MODIS,72,6.03,300.2,13.1,D,0,25
21.5023,81.6629,306.8,1,1,26-01-2022,506,Terra,MODIS,56,6.03,295.6,3.8,D,0,26
29.1931,75.8358,300.3,1.1,1.1,27-01-2022,547,Terra,MODIS,34,6.03,287.6,5.5,D,0,27
26.2787,91.9945,305.1,1.7,1.3,28-01-2022,452,Terra,MODIS,0,6.03,293.9,11.8,D,0,28
30.989,77.6014,306.1,1,1,29-01-2022,534,Terra,MODIS,63,6.03,288.1,7.7,D,0,29
26.6856,93.3207,301.8,1.3,1.1,30-01-2022,440,Terra,MODIS,0,6.03,291,5.6,D,0,30
30.7791,78.0643,302.4,1.1,1,31-01-2022,522,Terra,MODIS,45,6.03,288.4,6.1,D,0,31
26.7156,90.9257,311.4,1.1,1,01-02-2022,427,Terra,MODIS,65,6.03,292.7,10.3,D,0,32
30.1004,79.7986,300.8,1.2,1.1,02-02-2022,510,Terra,MODIS,34,6.03,286.4,7.5,D,0,33
28.2974,73.3719,321.4,1.1,1,03-02-2022,553,Terra,MODIS,49,6.03,293.9,12.6,D,0,34
23.164,82.3411,304.2,1.1,1,04-02-2022,459,Terra,MODIS,45,6.03,292.4,4.3,D,0,35
29.71,77.8313,302.6,1.2,1.1,05-02-2022,540,Terra,MODIS,53,6.03,288.4,6.5,D,0,36
26.4326,92.1418,300.5,1.4,1.2,06-02-2022,446,Terra,MODIS,0,6.03,285.6,3,D,0,37
31.0881,77.822,300.7,1,1,07-02-2022,528,Terra,MODIS,21,6.03,288.6,5.9,D,0,38
23.799,87.0529,311.7,1.3,1.1,08-02-2022,434,Terra,MODIS,61,6.03,300.1,8.3,D,2,39
26.7554,91.1123,313.2,3.8,1.8,09-02-2022,516,Terra,MODIS,57,6.03,289.6,74,D,0,40
22.0507,88.0974,312.3,1.7,1.3,10-02-2022,422,Terra,MODIS,0,6.03,291.8,13.5,D,2,41
25.3334,86.3202,306.5,1.2,1.1,11-02-2022,504,Terra,MODIS,0,6.03,294.7,7.2,D,0,42
32.1366,75.2953,307.9,1,1,12-02-2022,546,Terra,MODIS,66,6.03,292.1,8.1,D,0,43
25.29,91.726,303.6,1.7,1.3,13-02-2022,452,Terra,MODIS,43,6.03,291.7,8.1,D,0,44
26.6979,95.0906,308.5,1.7,1.3,14-02-2022,356,Terra,MODIS,67,6.03,293.5,16.1,D,0,45
26.7373,95.1503,351.7,1.6,1.3,15-02-2022,439,Terra,MODIS,97,6.03,294.5,133.9,D,0,46
26.7338,95.366,320.4,2.7,1.6,16-02-2022,344,Terra,MODIS,80,6.03,294,75,D,0,47
27.4105,94.9929,308.5,1.1,1,17-02-2022,427,Terra,MODIS,66,6.03,296.4,5,D,0,48
26.6516,94.9995,350.9,4.8,2,18-02-2022,332,Terra,MODIS,91,6.03,287.8,599.1,D,0,49
27.9715,95.4359,310.6,1,1,19-02-2022,414,Terra,MODIS,0,6.03,295.3,5,D,0,50
25.5642,91.2906,300.9,2,1.4,20-02-2022,458,Terra,MODIS,42,6.03,290.4,9.9,D,0,51
32.1591,75.314,315,1,1,21-02-2022,539,Terra,MODIS,75,6.03,293.9,11.8,D,0,52
27.0103,94.7957,304.8,2,1.4,22-02-2022,445,Terra,MODIS,60,6.03,293.1,9.7,D,0,53
31.4698,75.5598,303.6,1.2,1.1,23-02-2022,527,Terra,MODIS,56,6.03,288.8,5.3,D,0,54
26.8081,95.1748,421.1,1.3,1.1,24-02-2022,433,Terra,MODIS,87,6.03,302.9,608.3,D,0,55
29.413,79.0093,306.1,1.1,1,25-02-2022,515,Terra,MODIS,47,6.03,295.8,5.2,D,0,56
26.6353,93.0086,304.9,1,1,26-02-2022,421,Terra,MODIS,0,6.03,292.4,3.8,D,2,57
25.9852,86.4503,304,1.2,1.1,27-02-2022,504,Terra,MODIS,0,6.03,290.3,3,D,0,58
26.7429,93.3252,305.4,1.4,1.2,28-02-2022,408,Terra,MODIS,0,6.03,289.1,7.3,D,0,59
27.1112,84.1251,314,1.2,1.1,01-03-2022,451,Terra,MODIS,68,6.03,300.3,8,D,0,60
25.4843,94.26,318.5,1.9,1.3,02-03-2022,356,Terra,MODIS,76,6.03,295.2,37.1,D,0,61
28.9236,95.8149,310.5,1.7,1.3,03-03-2022,438,Terra,MODIS,70,6.03,289.4,21.7,D,0,62
29.6481,79.462,309.3,1,1,04-03-2022,521,Terra,MODIS,68,6.03,289.6,9.4,D,0,63
26.6809,94.6726,315.1,1.1,1,05-03-2022,426,Terra,MODIS,71,6.03,295.7,10.7,D,0,64
27.8106,81.4847,310.4,1,1,06-03-2022,509,Terra,MODIS,49,6.03,299.3,5.1,D,0,65
26.1675,94.2587,320.9,1.1,1,07-03-2022,414,Terra,MODIS,77,6.03,299.8,16,D,0,66
28.0758,96.0724,309.6,3.7,1.8,08-03-2022,456,Terra,MODIS,54,6.03,294.2,47.2,D,0,67
28.9183,95.9678,312.1,1.3,1.1,09-03-2022,401,Terra,MODIS,49,6.03,300.4,14.9,D,0,68
25.9599,92.3668,313.9,1.4,1.2,10-03-2022,445,Terra,MODIS,63,6.03,299.9,11,D,0,69
27.2437,92.5411,320.4,3.4,1.7,11-03-2022,349,Terra,MODIS,78,6.03,293.8,98.2,D,0,70
28.5757,94.1773,320.3,1.1,1.1,12-03-2022,432,Terra,MODIS,80,6.03,295.9,19.3,D,0,71
28.674,96.1375,312.2,3.3,1.7,13-03-2022,337,Terra,MODIS,54,6.03,294.9,52.5,D,0,72
28.7495,96.1981,315,1,1,14-03-2022,419,Terra,MODIS,43,6.03,297.3,12.7,D,0,73
28.0737,94.6353,304.8,3.8,1.8,15-03-2022,502,Terra,MODIS,53,6.03,291.4,30.4,D,0,74
28.1971,95.7917,322.8,1.1,1,16-03-2022,407,Terra,MODIS,82,6.03,300.5,17.1,D,0,75
27.4157,93.5445,306.5,2,1.4,17-03-2022,450,Terra,MODIS,63,6.03,293.6,16.7,D,0,76
27.4077,92.1627,314.3,2.8,1.6,18-03-2022,355,Terra,MODIS,67,6.03,298.3,39.4,D,0,77
26.1383,94.8789,314.7,1.6,1.3,19-03-2022,438,Terra,MODIS,68,6.03,304.1,19.4,D,0,78
33.3903,75.7442,322.4,1.5,1.2,20-03-2022,520,Terra,MODIS,81,6.03,299.6,28.4,D,0,79
25.6979,91.3268,314.4,1,1,21-03-2022,426,Terra,MODIS,56,6.03,298,8.1,D,0,80
31.5344,77.9089,314.2,1.6,1.3,22-03-2022,508,Terra,MODIS,28,6.03,303.2,19.2,D,0,81
27.6793,95.9769,311.3,1,1,23-03-2022,413,Terra,MODIS,61,6.03,297.9,5.4,D,0,82
29.4505,76.8791,311.2,2.9,1.6,24-03-2022,456,Terra,MODIS,50,6.03,299.6,23.1,D,2,83
25.8798,93.9175,313.8,1.6,1.2,25-03-2022,402,Terra,MODIS,45,6.03,296.7,11.1,D,0,84
25.8184,92.2526,316.7,1.4,1.2,26-03-2022,444,Terra,MODIS,65,6.03,300.6,12.6,D,0,85
27.199,92.3268,328,3.5,1.8,27-03-2022,349,Terra,MODIS,84,6.03,290.9,142.6,D,0,86
26.2756,94.2468,309.7,1.2,1.1,28-03-2022,432,Terra,MODIS,39,6.03,294,7.1,D,0,87
30.3096,79.6311,328.5,1.1,1,29-03-2022,514,Terra,MODIS,73,6.03,303.3,24.3,D,0,88
25.438,86.0613,316.9,2.6,1.6,30-03-2022,420,Terra,MODIS,67,6.03,296,36.3,D,2,89
28.1424,80.0727,319.5,1.3,1.1,31-03-2022,502,Terra,MODIS,61,6.03,304.4,10.3,D,0,90
32.3486,76.1118,317.1,1.1,1,01-04-2022,544,Terra,MODIS,51,6.03,302.1,10.6,D,0,91
22.0672,92.8334,324.9,2.3,1.5,02-04-2022,451,Terra,MODIS,78,6.03,293.4,60.9,D,0,92
33.9954,75.0548,306.9,1.1,1.1,03-04-2022,532,Terra,MODIS,39,6.03,292.4,5.9,D,0,93
25.5483,88.0493,320.3,1,1,04-04-2022,438,Terra,MODIS,68,6.03,304.8,8.7,D,0,94
33.2412,75.5901,315.1,1.5,1.2,05-04-2022,520,Terra,MODIS,40,6.03,297.9,14.8,D,0,95
24.8038,94.2638,325.8,1.1,1,06-04-2022,426,Terra,MODIS,79,6.03,297.4,19.9,D,0,96
28.971,79.5609,318.3,1.2,1.1,07-04-2022,508,Terra,MODIS,35,6.03,306.3,8.3,D,0,97
25.1883,94.4811,320.4,1,1,08-04-2022,414,Terra,MODIS,77,6.03,299,12.7,D,0,98
28.5462,80.4473,320.6,1.6,1.2,09-04-2022,456,Terra,MODIS,66,6.03,305.1,12.5,D,0,99
34.1861,74.1796,313.4,1.1,1,10-04-2022,538,Terra,MODIS,36,6.03,296.1,7,D,0,100
27.1606,83.3748,325.9,1.6,1.2,11-04-2022,444,Terra,MODIS,75,6.03,302.1,22.3,D,0,101
31.0327,77.6329,306.1,1,1,12-04-2022,526,Terra,MODIS,42,6.03,288.1,5.5,D,0,102
27.2435,82.7616,319.2,2.8,1.6,13-04-2022,432,Terra,MODIS,48,6.03,296.6,25.2,D,0,103
31.1911,77.2134,313.9,1.4,1.2,14-04-2022,514,Terra,MODIS,39,6.03,299.8,9.8,D,0,104
27.7219,92.4539,301.9,1.1,1,15-04-2022,419,Terra,MODIS,0,6.03,284.6,4.7,D,0,105
30.2763,79.216,316.5,1.6,1.2,16-04-2022,502,Terra,MODIS,51,6.03,301.5,13.4,D,0,106
26.312,93.6142,311.9,1.3,1.1,17-04-2022,407,Terra,MODIS,61,6.03,296.8,8.4,D,0,107
30.332,78.9424,327.9,2.7,1.6,18-04-2022,449,Terra,MODIS,80,6.03,303,77.3,D,0,108
30.4415,78.6146,314,1.1,1,19-04-2022,532,Terra,MODIS,32,6.03,302,4.3,D,0,109
25.2002,83.9738,329,1.7,1.3,20-04-2022,438,Terra,MODIS,63,6.03,312.7,12.5,D,0,110
30.3071,78.3014,319.6,1,1,21-04-2022,520,Terra,MODIS,62,6.03,302.4,9.4,D,0,111
27.3845,83.4275,319.2,3.3,1.7,22-04-2022,425,Terra,MODIS,45,6.03,294,36.2,D,0,112
32.5309,75.0447,324,2.5,1.5,23-04-2022,507,Terra,MODIS,74,6.03,304.1,34.8,D,0,113
25.3966,92.9634,342.4,1.2,1.1,24-04-2022,413,Terra,MODIS,91,6.03,301.8,49.9,D,0,114
30.7449,78.3754,316.1,2.3,1.5,25-04-2022,455,Terra,MODIS,61,6.03,298.5,27.5,D,0,115
25.181,94.4791,311.2,1.4,1.2,26-04-2022,401,Terra,MODIS,32,6.03,298.2,6.5,D,0,116
29.25,79.9225,313,2.9,1.6,27-04-2022,443,Terra,MODIS,30,6.03,300.6,21.2,D,0,117
32.5636,74.7182,331.7,1.3,1.2,28-04-2022,525,Terra,MODIS,76,6.03,312.8,18.9,D,0,118
